,Auxiliary channel TU1 T(°C),result
0,28.7,0
1,28.7,0
2,28.7,0
3,28.7,0
4,28.7,0
5,28.7,0
6,28.7,0
7,28.7,0
8,28.7,0
9,28.7,0
10,28.7,0
11,28.7,0
12,28.6,0
13,28.6,0
14,28.6,0
15,28.6,0
16,28.6,0
17,28.6,0
18,28.6,0
19,28.6,0
20,28.6,0
21,28.6,0
22,28.6,0
23,28.5,0
24,28.5,0
25,28.5,0
26,28.5,0
27,28.5,0
28,28.5,0
29,28.5,0
30,28.5,0
31,28.5,0
32,28.5,0
33,28.5,0
34,28.5,0
35,28.4,0
36,28.4,0
37,28.4,0
38,28.4,0
39,28.4,0
40,28.4,0
41,28.4,0
42,28.4,0
43,28.4,0
44,28.4,0
45,28.4,0
46,28.4,0
47,28.4,0
48,28.4,0
49,28.4,0
50,28.4,0
51,28.4,0
52,28.3,0
53,28.3,0
54,28.3,0
55,28.3,0
56,28.3,0
57,28.3,0
58,28.3,0
59,28.3,0
60,28.3,0
61,28.7,0
62,28.7,0
63,28.7,0
64,28.7,0
65,28.7,0
66,28.7,0
67,28.7,0
68,28.7,0
69,28.7,0
70,28.7,0
71,28.7,0
72,28.7,0
73,28.7,0
74,28.6,0
75,28.6,0
76,28.6,0
77,28.6,0
78,28.6,0
79,28.6,0
80,28.6,0
81,28.6,0
82,28.6,0
83,28.6,0
84,28.5,0
85,28.5,0
86,28.5,0
87,28.5,0
88,28.5,0
89,28.5,0
90,28.5,0
91,28.5,0
92,28.5,0
93,28.5,0
94,28.4,0
95,28.4,0
96,28.4,0
97,28.4,0
98,28.4,0
99,28.4,0
100,28.4,0
101,28.4,0
102,28.4,0
103,28.4,0
104,28.4,0
105,28.3,0
106,28.3,0
107,28.3,0
108,28.3,0
109,28.3,0
110,28.3,0
111,28.3,0
112,28.3,0
113,28.3,0
114,28.3,0
115,28.3,0
116,28.3,0
117,28.3,0
118,28.3,0
119,28.3,0
120,28.2,0
121,28.2,0
122,28.5,0
123,28.5,0
124,28.5,0
125,28.5,0
126,28.5,0
127,28.5,0
128,28.5,0
129,28.5,0
130,28.5,0
131,28.5,0
132,28.5,0
133,28.6,0
134,28.6,0
135,28.6,0
136,28.6,0
137,28.6,0
138,28.6,0
139,28.6,0
140,28.6,0
141,28.6,0
142,28.6,0
143,28.6,0
144,28.6,0
145,28.6,0
146,28.6,0
147,28.6,0
148,28.6,0
149,28.6,0
150,28.6,0
151,28.6,0
152,28.6,0
153,28.6,0
154,28.6,0
155,28.6,0
