,Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
0,196606,CCCV_DChg,0:04:10.000,2020-10-13 02:39:32.000000,28.3,0
1,196607,CCCV_DChg,0:04:11.000,2020-10-13 02:39:33.000000,28.3,0
2,196608,CCCV_DChg,0:04:12.000,2020-10-13 02:39:34.000000,28.3,0
3,196609,CCCV_DChg,0:04:13.000,2020-10-13 02:39:35.000000,28.3,0
4,196610,CCCV_DChg,0:04:14.000,2020-10-13 02:39:36.000000,28.3,0
5,196611,CCCV_DChg,0:04:15.000,2020-10-13 02:39:37.000000,28.3,0
6,196612,CCCV_DChg,0:04:16.000,2020-10-13 02:39:38.000000,28.3,0
7,196613,CCCV_DChg,0:04:17.000,2020-10-13 02:39:39.000000,28.2,0
8,196614,CCCV_DChg,0:04:18.000,2020-10-13 02:39:40.000000,28.2,0
9,196615,CCCV_DChg,0:04:19.000,2020-10-13 02:39:41.000000,28.2,0
10,196616,CCCV_DChg,0:04:20.000,2020-10-13 02:39:42.000000,28.2,0
11,196617,CCCV_DChg,0:04:21.000,2020-10-13 02:39:43.000000,28.2,0
12,196618,CCCV_DChg,0:04:22.000,2020-10-13 02:39:44.000000,28.2,0
13,196619,CCCV_DChg,0:04:23.000,2020-10-13 02:39:44.999999,28.2,0
14,196620,CCCV_DChg,0:04:24.000,2020-10-13 02:39:46.000000,28.2,0
15,196621,CCCV_DChg,0:04:25.000,2020-10-13 02:39:47.000000,28.2,0
16,196622,CCCV_DChg,0:04:26.000,2020-10-13 02:39:48.000000,28.2,0
17,196623,CCCV_DChg,0:04:27.000,2020-10-13 02:39:49.000000,28.2,0
18,196624,CCCV_DChg,0:04:28.000,2020-10-13 02:39:50.000000,28.2,0
19,196625,CCCV_DChg,0:04:29.000,2020-10-13 02:39:51.000000,28.2,0
20,196626,CCCV_DChg,0:04:30.000,2020-10-13 02:39:52.000001,28.2,0
21,196627,CCCV_DChg,0:04:31.000,2020-10-13 02:39:53.000000,28.2,0
22,196628,CCCV_DChg,0:04:32.000,2020-10-13 02:39:54.000000,28.2,0
23,196629,CCCV_DChg,0:04:33.000,2020-10-13 02:39:55.000000,28.2,0
24,196630,CCCV_DChg,0:04:34.000,2020-10-13 02:39:56.000000,28.2,0
25,196631,CCCV_DChg,0:04:35.000,2020-10-13 02:39:57.000000,28.2,0
26,196632,CCCV_DChg,0:04:36.000,2020-10-13 02:39:58.000000,28.1,0
27,196633,CCCV_DChg,0:04:37.000,2020-10-13 02:39:59.000000,28.1,0
28,196634,CCCV_DChg,0:04:38.000,2020-10-13 02:40:00.000000,28.1,0
29,196635,CCCV_DChg,0:04:39.000,2020-10-13 02:40:01.000000,28.1,0
30,196636,CCCV_DChg,0:04:40.000,2020-10-13 02:40:02.000000,28.1,0
31,196637,CCCV_DChg,0:04:41.000,2020-10-13 02:40:03.000000,28.1,0
32,196638,CCCV_DChg,0:04:42.000,2020-10-13 02:40:04.000000,28.1,0
