,Auxiliary channel TU1 T(°C),result
0,27.9,0
1,27.9,0
2,27.9,0
3,27.9,0
4,27.9,0
5,27.9,0
6,27.9,0
7,28.0,0
8,28.0,0
9,28.0,0
10,28.0,0
11,28.0,0
12,28.0,0
13,28.0,0
14,28.0,0
15,28.0,0
16,28.0,0
17,28.0,0
18,28.0,0
19,28.0,0
20,28.0,0
21,28.0,0
22,28.1,0
23,28.0,0
24,28.0,0
25,28.0,0
26,28.1,0
27,28.0,0
28,28.0,0
29,28.0,0
30,28.1,0
31,28.0,0
32,28.0,0
33,28.0,0
34,28.0,0
35,28.0,0
36,28.0,0
37,28.0,0
38,28.0,0
39,28.0,0
40,28.0,0
41,28.0,0
42,28.0,0
43,28.0,0
44,28.0,0
45,28.0,0
46,28.0,0
47,28.0,0
48,28.0,0
49,28.0,0
50,28.0,0
51,28.0,0
52,28.0,0
53,28.0,0
54,28.0,0
55,27.9,0
56,27.9,0
57,27.9,0
58,27.9,0
59,27.9,0
60,27.9,0
61,27.7,0
62,27.8,0
63,27.7,0
64,27.8,0
65,27.8,0
66,27.8,0
67,27.8,0
68,27.8,0
69,27.8,0
70,27.8,0
71,27.8,0
72,27.8,0
73,27.8,0
74,27.8,0
75,27.8,0
76,27.8,0
77,27.8,0
78,27.9,0
79,27.9,0
80,27.9,0
81,27.9,0
82,27.9,0
83,27.9,0
84,27.9,0
85,27.9,0
86,27.9,0
87,27.9,0
88,27.9,0
89,27.9,0
90,28.0,0
91,28.0,0
92,28.0,0
93,28.0,0
94,28.0,0
95,28.0,0
96,28.0,0
97,28.0,0
98,28.0,0
99,28.0,0
100,28.0,0
101,28.0,0
102,28.0,0
103,28.0,0
104,28.0,0
105,28.0,0
106,28.0,0
107,28.0,0
108,28.0,0
109,28.0,0
110,28.0,0
111,28.0,0
112,28.0,0
113,28.0,0
114,28.0,0
115,28.0,0
116,28.0,0
117,28.0,0
118,28.0,0
119,28.0,0
120,28.0,0
121,28.0,0
122,28.1,1
123,28.1,1
124,28.1,1
125,28.1,1
126,28.1,1
127,28.1,1
128,28.1,1
129,28.1,1
130,28.1,1
131,28.1,1
132,28.1,1
133,28.1,1
134,28.1,1
135,28.1,1
136,28.1,1
137,28.1,1
138,28.1,1
139,28.1,1
140,28.1,1
141,28.1,1
142,28.1,1
143,28.1,1
144,28.1,1
145,28.0,1
146,28.0,1
147,28.1,1
148,28.0,1
149,28.0,1
150,28.0,1
151,28.0,1
152,28.0,1
153,28.0,1
154,28.0,1
155,28.0,1
156,28.0,1
157,28.0,1
158,28.0,1
159,28.0,1
160,28.0,1
161,28.0,1
162,28.0,1
163,28.0,1
164,28.0,1
165,28.0,1
166,28.0,1
167,28.0,1
168,28.1,1
169,28.1,1
170,28.1,1
171,28.1,1
172,28.1,1
173,28.1,1
174,28.1,1
175,28.1,1
176,28.1,1
177,28.1,1
178,28.1,1
179,28.1,1
180,28.1,1
181,28.1,1
182,28.1,1
183,28.1,1
184,28.1,1
185,28.1,1
186,28.1,1
187,28.1,1
188,28.1,1
189,27.9,1
190,27.9,1
191,27.9,1
192,27.9,1
193,27.9,1
194,27.9,1
195,27.9,1
196,27.9,1
197,27.9,1
198,27.9,1
199,27.9,1
200,27.9,1
201,27.9,1
202,27.8,1
203,27.9,1
204,27.8,1
205,27.8,1
206,27.8,1
207,27.8,1
208,27.8,1
209,27.8,1
210,27.8,1
211,27.8,1
212,27.8,1
213,27.8,1
214,27.8,1
215,27.8,1
216,27.8,1
217,27.8,1
218,27.8,1
219,27.8,1
220,27.8,1
221,27.8,1
222,27.8,1
223,27.8,1
224,27.8,1
225,27.8,1
226,27.8,1
227,27.8,1
228,27.8,1
229,27.8,1
230,27.8,1
231,27.8,1
232,27.8,1
233,27.8,1
234,27.8,1
235,27.8,1
236,27.8,1
237,27.8,1
238,27.8,1
239,27.8,1
240,27.8,1
241,27.8,1
242,27.8,1
243,27.8,1
