,Record ID,Step Name,Relative Time(h:min:s.ms),Realtime,Auxiliary channel TU1 T(°C),Gap of Temperature
9633,206239,Rest,0:00:00.000,2020-10-13 05:20:04.000000,30.8,0
9634,206240,Rest,0:00:01.000,2020-10-13 05:20:05.000000,30.8,0
9635,206241,Rest,0:00:02.000,2020-10-13 05:20:06.000000,30.8,0
9636,206242,Rest,0:00:03.000,2020-10-13 05:20:07.000000,30.8,0
9637,206243,Rest,0:00:04.000,2020-10-13 05:20:08.000000,30.8,0
9638,206244,Rest,0:00:05.000,2020-10-13 05:20:09.000000,30.8,0
9639,206245,Rest,0:00:06.000,2020-10-13 05:20:10.000000,30.8,0
9640,206246,Rest,0:00:07.000,2020-10-13 05:20:11.000000,30.8,0
9641,206247,Rest,0:00:08.000,2020-10-13 05:20:12.000000,30.8,0
9642,206248,Rest,0:00:09.000,2020-10-13 05:20:13.000000,30.8,0
9643,206249,Rest,0:00:10.000,2020-10-13 05:20:14.000000,30.8,0
9644,206250,Rest,0:00:11.000,2020-10-13 05:20:15.000000,30.8,0
9645,206251,Rest,0:00:12.000,2020-10-13 05:20:16.000000,30.8,0
9646,206252,Rest,0:00:13.000,2020-10-13 05:20:17.000000,30.8,0
9647,206253,Rest,0:00:14.000,2020-10-13 05:20:18.000000,30.8,0
9648,206254,Rest,0:00:15.000,2020-10-13 05:20:19.000000,30.8,0
9649,206255,Rest,0:00:16.000,2020-10-13 05:20:20.000000,30.8,0
9650,206256,Rest,0:00:17.000,2020-10-13 05:20:21.000000,30.8,0
9651,206257,Rest,0:00:18.000,2020-10-13 05:20:22.000000,30.8,0
9652,206258,Rest,0:00:19.000,2020-10-13 05:20:23.000000,30.8,0
9653,206259,Rest,0:00:20.000,2020-10-13 05:20:24.000000,30.8,0
9654,206260,Rest,0:00:21.000,2020-10-13 05:20:25.000000,30.8,0
9655,206261,Rest,0:00:22.000,2020-10-13 05:20:26.000000,30.8,0
9656,206262,Rest,0:00:23.000,2020-10-13 05:20:27.000000,30.8,0
9657,206263,Rest,0:00:24.000,2020-10-13 05:20:28.000000,30.8,0
9658,206264,Rest,0:00:25.000,2020-10-13 05:20:29.000000,30.8,0
9659,206265,Rest,0:00:26.000,2020-10-13 05:20:30.000000,30.7,0
9660,206266,Rest,0:00:27.000,2020-10-13 05:20:31.000000,30.7,0
9661,206267,Rest,0:00:28.000,2020-10-13 05:20:32.000000,30.7,0
9662,206268,Rest,0:00:29.000,2020-10-13 05:20:33.000001,30.7,0
9663,206269,Rest,0:00:30.000,2020-10-13 05:20:34.000000,30.7,0
9664,206270,Rest,0:00:31.000,2020-10-13 05:20:35.000000,30.7,0
9665,206271,Rest,0:00:32.000,2020-10-13 05:20:36.000000,30.7,0
9666,206272,Rest,0:00:33.000,2020-10-13 05:20:37.000000,30.7,0
9667,206273,Rest,0:00:34.000,2020-10-13 05:20:38.000000,30.7,0
9668,206274,Rest,0:00:35.000,2020-10-13 05:20:39.000000,30.7,0
9669,206275,Rest,0:00:36.000,2020-10-13 05:20:40.000000,30.7,0
9670,206276,Rest,0:00:37.000,2020-10-13 05:20:41.000000,30.7,0
9671,206277,Rest,0:00:38.000,2020-10-13 05:20:41.999999,30.7,0
9672,206278,Rest,0:00:39.000,2020-10-13 05:20:43.000000,30.6,0
9673,206279,Rest,0:00:40.000,2020-10-13 05:20:44.000000,30.6,0
9674,206280,Rest,0:00:41.000,2020-10-13 05:20:45.000000,30.6,0
9675,206281,Rest,0:00:42.000,2020-10-13 05:20:46.000000,30.6,0
9676,206282,Rest,0:00:43.000,2020-10-13 05:20:47.000000,30.6,0
9677,206283,Rest,0:00:44.000,2020-10-13 05:20:48.000000,30.6,0
9678,206284,Rest,0:00:45.000,2020-10-13 05:20:49.000000,30.6,0
9679,206285,Rest,0:00:46.000,2020-10-13 05:20:50.000000,30.6,0
9680,206286,Rest,0:00:47.000,2020-10-13 05:20:51.000000,30.6,0
9681,206287,Rest,0:00:48.000,2020-10-13 05:20:52.000000,30.5,0
9682,206288,Rest,0:00:49.000,2020-10-13 05:20:53.000000,30.5,0
9683,206289,Rest,0:00:50.000,2020-10-13 05:20:54.000000,30.5,0
9684,206290,Rest,0:00:51.000,2020-10-13 05:20:55.000000,30.5,0
9685,206291,Rest,0:00:52.000,2020-10-13 05:20:56.000000,30.5,0
9686,206292,Rest,0:00:53.000,2020-10-13 05:20:57.000000,30.5,0
9687,206293,Rest,0:00:54.000,2020-10-13 05:20:58.000000,30.5,0
9688,206294,Rest,0:00:55.000,2020-10-13 05:20:59.000000,30.5,0
9689,206295,Rest,0:00:56.000,2020-10-13 05:21:00.000000,30.5,0
9690,206296,Rest,0:00:57.000,2020-10-13 05:21:01.000000,30.4,0
9691,206297,Rest,0:00:58.000,2020-10-13 05:21:02.000000,30.4,0
9692,206298,Rest,0:00:59.000,2020-10-13 05:21:03.000000,30.4,0
9693,206299,Rest,0:01:00.000,2020-10-13 05:21:04.000000,30.4,0
9694,206300,Rest,0:01:01.000,2020-10-13 05:21:05.000000,30.4,0
9695,206301,Rest,0:01:02.000,2020-10-13 05:21:06.000000,30.4,0
9696,206302,Rest,0:01:03.000,2020-10-13 05:21:07.000000,30.4,0
9697,206303,Rest,0:01:04.000,2020-10-13 05:21:08.000000,30.4,0
9698,206304,Rest,0:01:05.000,2020-10-13 05:21:09.000000,30.4,0
9699,206305,Rest,0:01:06.000,2020-10-13 05:21:10.000000,30.4,0
9700,206306,Rest,0:01:07.000,2020-10-13 05:21:11.000000,30.3,0
9701,206307,Rest,0:01:08.000,2020-10-13 05:21:12.000000,30.4,0
9702,206308,Rest,0:01:09.000,2020-10-13 05:21:13.000000,30.3,0
9703,206309,Rest,0:01:10.000,2020-10-13 05:21:14.000000,30.3,0
9704,206310,Rest,0:01:11.000,2020-10-13 05:21:15.000000,30.3,0
9705,206311,Rest,0:01:12.000,2020-10-13 05:21:16.000000,30.3,0
9706,206312,Rest,0:01:13.000,2020-10-13 05:21:16.999999,30.3,0
9707,206313,Rest,0:01:14.000,2020-10-13 05:21:18.000000,30.3,0
9708,206314,Rest,0:01:15.000,2020-10-13 05:21:19.000000,30.3,0
9709,206315,Rest,0:01:16.000,2020-10-13 05:21:20.000000,30.3,0
9710,206316,Rest,0:01:17.000,2020-10-13 05:21:21.000000,30.3,0
9711,206317,Rest,0:01:18.000,2020-10-13 05:21:22.000000,30.3,0
9712,206318,Rest,0:01:19.000,2020-10-13 05:21:23.000000,30.2,0
9713,206319,Rest,0:01:20.000,2020-10-13 05:21:24.000000,30.2,0
9714,206320,Rest,0:01:21.000,2020-10-13 05:21:25.000000,30.2,0
9715,206321,Rest,0:01:22.000,2020-10-13 05:21:26.000000,30.2,0
9716,206322,Rest,0:01:23.000,2020-10-13 05:21:27.000000,30.2,0
9717,206323,Rest,0:01:24.000,2020-10-13 05:21:28.000000,30.2,0
9718,206324,Rest,0:01:25.000,2020-10-13 05:21:29.000000,30.2,0
9719,206325,Rest,0:01:26.000,2020-10-13 05:21:30.000000,30.2,0
9720,206326,Rest,0:01:27.000,2020-10-13 05:21:31.000000,30.2,0
9721,206327,Rest,0:01:28.000,2020-10-13 05:21:32.000000,30.2,0
9722,206328,Rest,0:01:29.000,2020-10-13 05:21:33.000000,30.2,0
9723,206329,Rest,0:01:30.000,2020-10-13 05:21:34.000000,30.2,0
9724,206330,Rest,0:01:31.000,2020-10-13 05:21:35.000000,30.2,0
9725,206331,Rest,0:01:32.000,2020-10-13 05:21:36.000000,30.2,0
9726,206332,Rest,0:01:33.000,2020-10-13 05:21:37.000000,30.2,0
9727,206333,Rest,0:01:34.000,2020-10-13 05:21:38.000000,30.2,0
9728,206334,Rest,0:01:35.000,2020-10-13 05:21:39.000000,30.2,0
9729,206335,Rest,0:01:36.000,2020-10-13 05:21:40.000000,30.1,0
9730,206336,Rest,0:01:37.000,2020-10-13 05:21:41.000000,30.1,0
9731,206337,Rest,0:01:38.000,2020-10-13 05:21:42.000000,30.1,0
9732,206338,Rest,0:01:39.000,2020-10-13 05:21:43.000000,30.1,0
9733,206339,Rest,0:01:40.000,2020-10-13 05:21:44.000000,30.1,0
9734,206340,Rest,0:01:41.000,2020-10-13 05:21:45.000000,30.1,0
9735,206341,Rest,0:01:42.000,2020-10-13 05:21:46.000000,30.1,0
9736,206342,Rest,0:01:43.000,2020-10-13 05:21:47.000000,30.1,0
9737,206343,Rest,0:01:44.000,2020-10-13 05:21:48.000000,30.1,0
9738,206344,Rest,0:01:45.000,2020-10-13 05:21:49.000000,30.1,0
9739,206345,Rest,0:01:46.000,2020-10-13 05:21:50.000000,30.1,0
9740,206346,Rest,0:01:47.000,2020-10-13 05:21:51.000000,30.1,0
9741,206347,Rest,0:01:48.000,2020-10-13 05:21:51.999999,30.1,0
9742,206348,Rest,0:01:49.000,2020-10-13 05:21:53.000000,30.1,0
9743,206349,Rest,0:01:50.000,2020-10-13 05:21:54.000000,30.1,0
9744,206350,Rest,0:01:51.000,2020-10-13 05:21:55.000000,30.1,0
9745,206351,Rest,0:01:52.000,2020-10-13 05:21:56.000000,30.1,0
9746,206352,Rest,0:01:53.000,2020-10-13 05:21:57.000000,30.1,0
9747,206353,Rest,0:01:54.000,2020-10-13 05:21:58.000000,30.1,0
9748,206354,Rest,0:01:55.000,2020-10-13 05:21:59.000001,30.1,0
9749,206355,Rest,0:01:56.000,2020-10-13 05:22:00.000000,30.1,0
9750,206356,Rest,0:01:57.000,2020-10-13 05:22:01.000000,30.1,0
9751,206357,Rest,0:01:58.000,2020-10-13 05:22:02.000000,30.1,0
9752,206358,Rest,0:01:59.000,2020-10-13 05:22:03.000000,30.1,0
9753,206359,Rest,0:02:00.000,2020-10-13 05:22:04.000000,30.1,0
9754,206360,Rest,0:02:01.000,2020-10-13 05:22:05.000000,30.1,0
9755,206361,Rest,0:02:02.000,2020-10-13 05:22:06.000000,30.1,0
9756,206362,Rest,0:02:03.000,2020-10-13 05:22:07.000000,30.1,0
9757,206363,Rest,0:02:04.000,2020-10-13 05:22:08.000000,30.1,0
9758,206364,Rest,0:02:05.000,2020-10-13 05:22:09.000000,30.1,0
9759,206365,Rest,0:02:06.000,2020-10-13 05:22:10.000000,30.1,0
9760,206366,Rest,0:02:07.000,2020-10-13 05:22:11.000000,30.1,0
