,Auxiliary channel TU1 T(°C),result
0,30.8,0
1,30.8,0
2,30.8,0
3,30.8,0
4,30.8,0
5,30.8,0
6,30.8,0
7,30.8,0
8,30.8,0
9,30.8,0
10,30.8,0
11,30.8,0
12,30.8,0
13,30.8,0
14,30.8,0
15,30.8,0
16,30.8,0
17,30.8,0
18,30.8,0
19,30.8,0
20,30.8,0
21,30.8,0
22,30.8,0
23,30.8,0
24,30.8,0
25,30.8,0
26,30.7,0
27,30.7,0
28,30.7,0
29,30.7,0
30,30.7,0
31,30.7,0
32,30.7,0
33,30.7,0
34,30.7,0
35,30.7,0
36,30.7,0
37,30.7,0
38,30.7,0
39,30.6,0
40,30.6,0
41,30.6,0
42,30.6,0
43,30.6,0
44,30.6,0
45,30.6,0
46,30.6,0
47,30.6,0
48,30.5,0
49,30.5,0
50,30.5,0
51,30.5,0
52,30.5,0
53,30.5,0
54,30.5,0
55,30.5,0
56,30.5,0
57,30.4,0
58,30.4,0
59,30.4,0
60,30.4,0
61,27.7,0
62,27.7,0
63,27.7,0
64,27.7,0
65,27.7,0
66,27.7,0
67,27.7,0
68,27.7,0
69,27.7,0
70,27.8,0
71,27.7,0
72,27.8,0
73,27.8,0
74,27.8,0
75,27.8,0
76,27.8,0
77,27.8,0
78,27.8,0
79,27.8,0
80,27.8,0
81,27.8,0
82,27.8,0
83,27.8,0
84,27.8,0
85,27.9,0
86,27.9,0
87,27.9,0
88,27.9,0
89,27.9,0
90,27.9,0
91,27.9,0
92,27.9,0
93,27.9,0
94,27.9,0
95,27.9,0
96,27.9,0
97,27.9,0
98,28.0,0
99,28.0,0
100,28.0,0
101,28.0,0
102,28.0,0
103,28.0,0
104,28.0,0
105,28.0,0
106,28.0,0
107,28.0,0
108,28.0,0
109,28.0,0
110,28.0,0
111,28.0,0
112,28.0,0
113,28.0,0
114,28.0,0
115,28.0,0
116,28.0,0
117,28.0,0
118,28.0,0
119,28.0,0
120,28.0,0
121,28.0,0
122,30.7,0
123,30.7,0
124,30.7,0
125,30.7,0
126,30.7,0
127,30.7,0
128,30.7,0
129,30.7,0
130,30.7,0
131,30.7,0
132,30.7,0
133,30.7,0
134,30.7,0
135,30.7,0
136,30.7,0
137,30.7,0
138,30.7,0
139,30.7,0
140,30.7,0
141,30.7,0
142,30.7,0
143,30.7,0
144,30.7,0
145,30.7,0
146,30.7,0
147,30.7,0
148,30.7,0
149,30.7,0
150,30.7,0
151,30.7,0
152,30.7,0
153,30.7,0
154,30.7,0
155,30.7,0
156,30.6,0
157,30.6,0
158,30.6,0
159,30.6,0
160,30.6,0
161,30.6,0
162,30.6,0
163,30.6,0
164,30.6,0
165,30.6,0
166,30.6,0
167,30.6,0
168,30.5,0
169,30.5,0
170,30.5,0
171,30.5,0
172,30.5,0
173,30.5,0
174,30.5,0
175,30.5,0
176,30.5,0
177,30.4,0
178,30.4,0
179,30.4,0
180,30.4,0
181,30.4,0
182,30.4,0
183,27.7,0
184,27.7,0
185,27.7,0
186,27.7,0
187,27.7,0
188,27.7,0
189,27.7,0
190,27.7,0
191,27.7,0
192,27.7,0
193,27.7,0
194,27.7,0
195,27.7,0
196,27.7,0
197,27.7,0
198,27.7,0
199,27.7,0
200,27.7,0
201,27.7,0
202,27.8,0
203,27.8,0
204,27.8,0
205,27.8,0
206,27.8,0
207,27.8,0
208,27.8,0
209,27.8,0
210,27.8,0
211,27.8,0
212,27.8,0
213,27.8,0
214,27.8,0
215,27.8,0
216,27.8,0
217,27.9,0
218,27.9,0
219,27.9,0
220,27.9,0
221,27.9,0
222,27.9,0
223,27.9,0
224,27.9,0
225,27.9,0
226,27.9,0
227,27.9,0
228,27.9,0
229,27.9,0
230,27.9,0
231,27.9,0
232,28.0,0
233,28.0,0
234,28.0,0
235,28.0,0
236,28.0,0
237,28.0,0
238,28.0,0
239,28.0,0
240,28.0,0
241,28.0,0
242,28.0,0
243,28.0,0
244,30.5,0
245,30.5,0
246,30.5,0
247,30.5,0
248,30.5,0
249,30.5,0
250,30.5,0
251,30.5,0
252,30.5,0
253,30.5,0
254,30.5,0
255,30.5,0
256,30.5,0
257,30.5,0
258,30.5,0
259,30.5,0
260,30.5,0
261,30.5,0
262,30.5,0
263,30.5,0
264,30.5,0
265,30.5,0
266,30.5,0
267,30.5,0
268,30.5,0
269,30.5,0
270,30.5,0
271,30.5,0
272,30.5,0
273,30.5,0
274,30.5,0
275,30.5,0
276,30.5,0
277,30.5,0
278,30.5,0
279,30.5,0
280,30.5,0
281,30.5,0
282,30.5,0
283,30.5,0
284,30.5,0
285,30.5,0
286,30.5,0
287,30.5,0
288,30.5,0
289,30.5,0
290,30.6,0
291,30.5,0
292,30.5,0
293,30.5,0
294,30.5,0
295,30.5,0
296,30.5,0
297,30.5,0
298,30.5,0
299,30.5,0
300,30.5,0
301,30.5,0
302,30.5,0
303,30.5,0
304,30.5,0
305,30.4,1
306,30.4,1
307,30.4,1
308,30.4,1
309,30.4,1
310,30.4,1
311,30.4,1
312,28.0,1
313,28.0,1
314,28.0,1
315,28.0,1
316,27.9,1
317,27.9,1
318,27.9,1
319,27.9,1
320,27.9,1
321,27.9,1
322,27.9,1
323,27.9,1
324,27.9,1
325,27.9,1
326,27.9,1
327,27.9,1
328,27.9,1
329,27.9,1
330,27.9,1
331,27.9,1
332,27.9,1
333,27.9,1
334,27.9,1
335,27.9,1
336,27.8,1
337,27.8,1
338,27.8,1
339,27.8,1
340,27.8,1
341,27.8,1
342,27.8,1
343,27.8,1
344,27.8,1
345,27.8,1
346,27.8,1
347,27.8,1
348,27.8,1
349,27.8,1
350,27.8,1
351,27.8,1
352,27.8,1
353,27.8,1
354,27.8,1
355,27.7,1
356,27.8,1
357,27.7,1
358,27.7,1
359,27.7,1
360,27.7,1
361,27.7,1
362,27.7,1
363,27.7,1
364,27.7,1
365,27.7,1
366,27.7,1
367,27.7,1
368,27.7,1
369,27.7,1
370,27.7,1
371,27.7,1
372,27.7,1
373,27.7,1
374,27.7,1
375,27.7,1
376,27.7,1
377,27.7,1
378,27.7,1
379,27.7,1
380,27.7,1
381,27.7,1
382,27.7,1
383,27.7,1
384,27.7,1
385,27.7,1
386,27.7,1
387,27.7,1
388,27.7,1
389,27.7,1
390,27.7,1
391,27.7,1
392,27.7,1
393,27.7,1
394,27.7,1
395,27.7,1
396,27.7,1
397,27.7,1
398,27.7,1
399,27.7,1
400,27.7,1
401,27.7,1
402,27.7,1
403,27.8,1
404,27.8,1
405,27.8,1
406,27.8,1
407,27.8,1
408,27.8,1
409,27.8,1
410,27.8,1
411,27.8,1
412,27.8,1
413,27.8,1
414,27.8,1
415,27.8,1
416,27.8,1
417,27.8,1
418,27.8,1
419,27.8,1
420,27.8,1
421,27.9,1
422,27.8,1
423,27.9,1
424,27.9,1
425,27.9,1
426,27.9,1
427,27.9,1
428,27.9,1
429,27.9,1
430,27.9,1
431,27.9,1
